2008-01-30 18:08:00,437, INFO, Commiting... 93, 1000
2008-01-30 18:08:01,562, INFO, Commiting... 94, 1000
2008-01-30 18:08:02,671, INFO, Commiting... 95, 1000
2008-01-30 18:08:03,796, INFO, Commiting... 96, 1000
2008-01-30 18:08:04,921, INFO, Commiting... 97, 1000
2008-01-30 18:08:06,030, INFO, Commiting... 98, 1000
2008-01-30 18:08:07,140, INFO, Commiting... 99, 1000
2008-01-30 18:08:08,265, INFO, Commiting... 100, 1000
2008-01-30 18:08:09,375, INFO, Commiting... 101, 1000
2008-01-30 18:08:10,483, INFO, Commiting... 102, 1000
2008-01-30 18:08:11,578, INFO, Commiting... 103, 1000
2008-01-30 18:08:12,703, INFO, Commiting... 104, 1000
2008-01-30 18:08:13,828, INFO, Commiting... 105, 1000
2008-01-30 18:08:14,937, INFO, Commiting... 106, 1000
2008-01-30 18:08:16,078, INFO, Commiting... 107, 1000
2008-01-30 18:08:17,217, INFO, Commiting... 108, 1000
2008-01-30 18:08:18,328, INFO, Commiting... 109, 1000
2008-01-30 18:08:19,453, INFO, Commiting... 110, 1000
2008-01-30 18:08:20,592, INFO, Commiting... 111, 1000
2008-01-30 18:08:21,717, INFO, Commiting... 112, 1000
2008-01-30 18:08:22,842, INFO, Commiting... 113, 1000
2008-01-30 18:08:23,953, INFO, Commiting... 114, 1000
2008-01-30 18:08:25,062, INFO, Commiting... 115, 1000
2008-01-30 18:08:26,187, INFO, Commiting... 116, 1000
2008-01-30 18:08:27,296, INFO, Commiting... 117, 1000
2008-01-30 18:08:28,405, INFO, Commiting... 118, 1000
2008-01-30 18:08:29,515, INFO, Commiting... 119, 1000
2008-01-30 18:08:30,625, INFO, Commiting... 120, 1000
2008-01-30 18:08:31,750, INFO, Commiting... 121, 1000
2008-01-30 18:08:32,875, INFO, Commiting... 122, 1000
2008-01-30 18:08:33,967, INFO, Commiting... 123, 1000
2008-01-30 18:08:35,078, INFO, Commiting... 124, 1000
2008-01-30 18:08:36,203, INFO, Commiting... 125, 1000
2008-01-30 18:08:37,312, INFO, Commiting... 126, 1000
2008-01-30 18:08:38,437, INFO, Commiting... 127, 1000
2008-01-30 18:08:39,546, INFO, Commiting... 128, 1000
2008-01-30 18:08:40,655, INFO, Commiting... 129, 1000
2008-01-30 18:08:41,780, INFO, Commiting... 130, 1000
2008-01-30 18:08:42,890, INFO, Commiting... 131, 1000
2008-01-30 18:08:43,983, INFO, Commiting... 132, 1000
2008-01-30 18:08:45,108, INFO, Commiting... 133, 1000
2008-01-30 18:08:46,217, INFO, Commiting... 134, 1000
2008-01-30 18:08:47,342, INFO, Commiting... 135, 1000
2008-01-30 18:08:48,453, INFO, Commiting... 136, 1000
2008-01-30 18:08:49,562, INFO, Commiting... 137, 1000
2008-01-30 18:08:50,687, INFO, Commiting... 138, 1000
2008-01-30 18:08:51,780, INFO, Commiting... 139, 1000
2008-01-30 18:08:52,905, INFO, Commiting... 140, 1000
2008-01-30 18:08:54,046, INFO, Commiting... 141, 1000
2008-01-30 18:08:55,171, INFO, Commiting... 142, 1000
2008-01-30 18:08:56,280, INFO, Commiting... 143, 1000
2008-01-30 18:08:57,390, INFO, Commiting... 144, 1000
2008-01-30 18:08:58,500, INFO, Commiting... 145, 1000
2008-01-30 18:08:59,592, INFO, Commiting... 146, 1000
2008-01-30 18:09:00,717, INFO, Commiting... 147, 1000
2008-01-30 18:09:01,828, INFO, Commiting... 148, 1000
2008-01-30 18:09:02,937, INFO, Commiting... 149, 1000
2008-01-30 18:09:04,078, INFO, Commiting... 150, 1000
2008-01-30 18:09:05,187, INFO, Commiting... 151, 1000
2008-01-30 18:09:06,312, INFO, Commiting... 152, 1000
2008-01-30 18:09:07,437, INFO, Commiting... 153, 1000
2008-01-30 18:09:08,546, INFO, Commiting... 154, 1000
2008-01-30 18:09:09,671, INFO, Commiting... 155, 1000
2008-01-30 18:09:10,765, INFO, Commiting... 156, 1000
2008-01-30 18:09:11,875, INFO, Commiting... 157, 1000
2008-01-30 18:09:12,983, INFO, Commiting... 158, 1000
2008-01-30 18:09:14,078, INFO, Commiting... 159, 1000
2008-01-30 18:09:15,187, INFO, Commiting... 160, 1000
2008-01-30 18:09:16,328, INFO, Commiting... 161, 1000
2008-01-30 18:09:17,437, INFO, Commiting... 162, 1000
2008-01-30 18:09:18,546, INFO, Commiting... 163, 1000
2008-01-30 18:09:19,671, INFO, Commiting... 164, 1000
2008-01-30 18:09:20,780, INFO, Commiting... 165, 1000
2008-01-30 18:09:21,937, INFO, Commiting... 166, 1000
2008-01-30 18:09:23,062, INFO, Commiting... 167, 1000
2008-01-30 18:09:24,203, INFO, Commiting... 168, 1000
2008-01-30 18:09:25,342, INFO, Commiting... 169, 1000
2008-01-30 18:09:26,483, INFO, Commiting... 170, 1000
2008-01-30 18:09:27,608, INFO, Commiting... 171, 1000
2008-01-30 18:09:28,717, INFO, Commiting... 172, 1000
2008-01-30 18:09:29,812, INFO, Commiting... 173, 1000
2008-01-30 18:09:30,921, INFO, Commiting... 174, 1000
2008-01-30 18:09:32,030, INFO, Commiting... 175, 1000
2008-01-30 18:09:33,140, INFO, Commiting... 176, 1000
2008-01-30 18:09:34,265, INFO, Commiting... 177, 1000
2008-01-30 18:09:35,390, INFO, Commiting... 178, 1000
